group_level,group_value,query_count,raw_covered_count,raw_missing_count,raw_coverage_rate,hit_at_1_count,hit_at_3_count,hit_at_5_count,hit_at_10_count,hit_at_10_rate,avg_raw_candidate_count,diagnosis
district,구로구,5,5,0,1.0,0,4,4,5,1.0,35.8,후보군 coverage와 reranking이 상대적으로 양호
district,동대문구,5,5,0,1.0,2,3,5,5,1.0,45.0,후보군 coverage와 reranking이 상대적으로 양호
district,성북구,5,5,0,1.0,3,3,4,5,1.0,45.0,후보군 coverage와 reranking이 상대적으로 양호
district,용산구,4,4,0,1.0,2,4,4,4,1.0,47.25,후보군 coverage와 reranking이 상대적으로 양호
district,강북구,3,3,0,1.0,2,3,3,3,1.0,38.0,후보군 coverage와 reranking이 상대적으로 양호
district,관악구,3,3,0,1.0,0,1,2,3,1.0,50.0,후보군 coverage와 reranking이 상대적으로 양호
district,은평구,3,3,0,1.0,2,3,3,3,1.0,50.0,후보군 coverage와 reranking이 상대적으로 양호
district,금천구,2,2,0,1.0,1,1,1,2,1.0,50.0,후보군 coverage와 reranking이 상대적으로 양호
overall,ALL,169,169,0,1.0,49,103,120,159,0.9408284023668639,42.95266272189349,후보는 있으나 reranking 또는 명칭 매칭 개선 여지
place_type,교통거점,36,36,0,1.0,15,29,32,36,1.0,50.0,후보군 coverage와 reranking이 상대적으로 양호
place_type,전통시장,35,35,0,1.0,8,21,26,31,0.8857142857142857,40.542857142857144,후보는 있으나 reranking 또는 명칭 매칭 개선 여지
place_type,공원,30,30,0,1.0,10,16,19,29,0.9666666666666667,42.06666666666667,후보는 있으나 reranking 또는 명칭 매칭 개선 여지
place_type,정책현장,17,17,0,1.0,2,6,10,17,1.0,48.0,후보군 coverage와 reranking이 상대적으로 양호
place_type,골목상권,15,15,0,1.0,2,6,7,13,0.8666666666666667,37.53333333333333,후보는 있으나 reranking 또는 명칭 매칭 개선 여지
place_type,재개발/도시개발현장,11,11,0,1.0,6,10,10,11,1.0,50.0,후보군 coverage와 reranking이 상대적으로 양호
place_type,체육시설,9,9,0,1.0,2,4,5,9,1.0,32.44444444444444,후보군 coverage와 reranking이 상대적으로 양호
place_type,복지시설,8,8,0,1.0,2,8,8,8,1.0,23.25,후보군 coverage와 reranking이 상대적으로 양호
place_type,노동현장,6,6,0,1.0,1,2,2,4,0.6666666666666666,45.833333333333336,후보는 있으나 reranking 또는 명칭 매칭 개선 여지
place_type,어린이/가족시설,1,1,0,1.0,1,1,1,1,1.0,46.0,후보군 coverage와 reranking이 상대적으로 양호
place_type,종교시설,1,1,0,1.0,0,0,0,0,0.0,50.0,후보는 있으나 reranking 또는 명칭 매칭 개선 여지
