query_id,date,time,district,place_type,target_voter_group,context_tags,raw_rank,recommended_place_name,recommended_district,recommended_place_type,baseline_score,place_id,candidate_source
2026-03-10_17:40_중구,2026-03-10,17:40,중구,전통시장,상인;지역주민;생활권 유권자,전통시장;지역상권방문;저녁;중구;지역상권;생활밀착,47,새마을시장,송파구,market,0.4763,송파구_새마을시장,market
2026-03-10_17:40_중구,2026-03-10,17:40,중구,전통시장,상인;지역주민;생활권 유권자,전통시장;지역상권방문;저녁;중구;지역상권;생활밀착,48,동원전통종합시장,중랑구,market,0.4761,중랑구_동원전통종합시장,market
2026-03-10_17:40_중구,2026-03-10,17:40,중구,전통시장,상인;지역주민;생활권 유권자,전통시장;지역상권방문;저녁;중구;지역상권;생활밀착,49,송화벽화시장,강서구,market,0.4759,강서구_송화벽화시장,market
2026-03-10_17:40_중구,2026-03-10,17:40,중구,전통시장,상인;지역주민;생활권 유권자,전통시장;지역상권방문;저녁;중구;지역상권;생활밀착,50,월곡달빛오거리골목형상점가,성북구,market,0.4759,성북구_월곡달빛오거리골목형상점가,market
2026-03-11_15:10_영등포구,2026-03-11,15:10,영등포구,전통시장,상인;지역주민;생활권 유권자,전통시장;지역상권방문;오후;영등포구;지역상권;생활밀착,1,남대문시장,중구,market,0.7056,중구_남대문시장,market
2026-03-11_15:10_영등포구,2026-03-11,15:10,영등포구,전통시장,상인;지역주민;생활권 유권자,전통시장;지역상권방문;오후;영등포구;지역상권;생활밀착,2,동대문종합시장,종로구,market,0.6301,종로구_동대문종합시장,market
2026-03-11_15:10_영등포구,2026-03-11,15:10,영등포구,전통시장,상인;지역주민;생활권 유권자,전통시장;지역상권방문;오후;영등포구;지역상권;생활밀착,3,장안 마실 골목형상점가,동대문구,market,0.6299,동대문구_장안_마실_골목형상점가,market
2026-03-11_15:10_영등포구,2026-03-11,15:10,영등포구,전통시장,상인;지역주민;생활권 유권자,전통시장;지역상권방문;오후;영등포구;지역상권;생활밀착,4,영등포유통상가,영등포구,market,0.5381,영등포구_영등포유통상가,market
2026-03-11_15:10_영등포구,2026-03-11,15:10,영등포구,전통시장,상인;지역주민;생활권 유권자,전통시장;지역상권방문;오후;영등포구;지역상권;생활밀착,5,영등포시장기계공구상가,영등포구,market,0.4939,영등포구_영등포시장기계공구상가,market
2026-03-11_15:10_영등포구,2026-03-11,15:10,영등포구,전통시장,상인;지역주민;생활권 유권자,전통시장;지역상권방문;오후;영등포구;지역상권;생활밀착,6,영등포청과시장,영등포구,market,0.478,영등포구_영등포청과시장,market
2026-03-11_15:10_영등포구,2026-03-11,15:10,영등포구,전통시장,상인;지역주민;생활권 유권자,전통시장;지역상권방문;오후;영등포구;지역상권;생활밀착,7,영등포전통시장,영등포구,market,0.4708,영등포구_영등포전통시장,market
2026-03-11_15:10_영등포구,2026-03-11,15:10,영등포구,전통시장,상인;지역주민;생활권 유권자,전통시장;지역상권방문;오후;영등포구;지역상권;생활밀착,8,대림중앙시장,영등포구,market,0.4696,영등포구_대림중앙시장,market
2026-03-11_15:10_영등포구,2026-03-11,15:10,영등포구,전통시장,상인;지역주민;생활권 유권자,전통시장;지역상권방문;오후;영등포구;지역상권;생활밀착,9,우리시장,영등포구,market,0.4695,영등포구_우리시장,market
2026-03-11_15:10_영등포구,2026-03-11,15:10,영등포구,전통시장,상인;지역주민;생활권 유권자,전통시장;지역상권방문;오후;영등포구;지역상권;생활밀착,10,선유로운골목형상점가,영등포구,market,0.4686,영등포구_선유로운골목형상점가,market
2026-03-11_15:10_영등포구,2026-03-11,15:10,영등포구,전통시장,상인;지역주민;생활권 유권자,전통시장;지역상권방문;오후;영등포구;지역상권;생활밀착,11,화곡본동시장,강서구,market,0.4685,강서구_화곡본동시장,market
2026-03-11_15:10_영등포구,2026-03-11,15:10,영등포구,전통시장,상인;지역주민;생활권 유권자,전통시장;지역상권방문;오후;영등포구;지역상권;생활밀착,12,꿈의숲장곡골목형상점가,성북구,market,0.4684,성북구_꿈의숲장곡골목형상점가,market
2026-03-11_15:10_영등포구,2026-03-11,15:10,영등포구,전통시장,상인;지역주민;생활권 유권자,전통시장;지역상권방문;오후;영등포구;지역상권;생활밀착,13,남이동길골목형상점가,서대문구,market,0.4684,서대문구_남이동길골목형상점가,market
