living_population_id,date_id,admin_dong_code,total_living_population,age_20_40_population,age_60_plus_population,age_20_40_ratio,age_60_plus_ratio,morning_living_population,afternoon_living_population,daytime_living_population,morning_score,afternoon_score
20260130_11230730,20260130,11230730,411976.4693,184341.32700000002,84801.8011,0.447456,0.205841,88400.2329,99912.5158,188312.7487,0.469433,0.530567
20260130_11230740,20260130,11230740,709138.9474,378633.4778,106821.7655,0.533934,0.150636,147406.5386,187046.3289,334452.8675,0.440739,0.559261
20260130_11230750,20260130,11230750,286482.7562,102504.2463,69266.4079,0.357802,0.241782,60668.6413,66913.88930000001,127582.53060000001,0.475525,0.524475
20260130_11260520,20260130,11260520,480340.5033,165330.1537,119814.1482,0.344194,0.249436,99761.9402,121917.55559999999,221679.49579999998,0.450028,0.549972
20260130_11260540,20260130,11260540,347620.52890000003,117963.0622,89493.0788,0.339344,0.257445,71843.5974,86184.1432,158027.74060000002,0.454626,0.545374
20260130_11260550,20260130,11260550,276770.9826,93670.4034,69189.2761,0.33844,0.249987,58647.4935,71648.7166,130296.2101,0.450109,0.549891
20260130_11260565,20260130,11260565,658569.4616,254866.3817,163754.7551,0.387,0.248652,131883.68469999998,162645.5219,294529.2066,0.447778,0.552222
20260130_11260570,20260130,11260570,358091.4928,120903.6076,101236.3311,0.337633,0.282711,73351.0672,87715.27,161066.3372,0.455409,0.544591
20260130_11260575,20260130,11260575,484640.6512,177523.5168,129892.5871,0.366299,0.268018,96919.012,128261.56880000001,225180.5808,0.430406,0.569594
20260130_11260580,20260130,11260580,419939.7727,153525.8928,106499.4657,0.36559,0.253607,86561.4192,120317.4166,206878.8358,0.418416,0.581584
20260130_11260590,20260130,11260590,549614.8711,258940.9869,117480.2899,0.471132,0.21375,105800.7669,154857.2179,260657.98479999998,0.405899,0.594101
20260130_11260600,20260130,11260600,357078.9778,121993.1759,97157.5602,0.341642,0.27209,73143.454,83155.0462,156298.5002,0.467973,0.532027
20260130_11260610,20260130,11260610,588135.8543,207288.9882,168366.4626,0.352451,0.286271,118735.8655,152706.1066,271441.9721,0.437426,0.562574
20260130_11260620,20260130,11260620,576232.0648,193603.89740000002,145521.187,0.335983,0.252539,120444.2855,140565.5377,261009.82319999998,0.461455,0.538545
20260130_11260630,20260130,11260630,417035.75,153102.4094,102675.6309,0.367121,0.246203,85415.5541,110618.4832,196034.0373,0.435718,0.564282
20260130_11260655,20260130,11260655,922284.7657,327987.4336,228900.4694,0.355625,0.248188,186622.3647,253659.7392,440282.1039,0.42387,0.57613
20260130_11260660,20260130,11260660,222102.0692,72522.4652,65300.1776,0.326528,0.29401,46464.000700000004,51231.1175,97695.1182,0.475602,0.524398
20260130_11260680,20260130,11260680,816054.3876,257208.62159999998,192393.5587,0.315186,0.235761,171127.74180000002,220884.7218,392012.4636,0.436536,0.563464
20260130_11260690,20260130,11260690,332284.9279,106960.5984,91836.3615,0.321894,0.276378,71404.9982,93908.9666,165313.96480000002,0.431936,0.568064
20260130_11290525,20260130,11290525,449945.6748,163257.1742,109635.04,0.362838,0.243663,96437.8332,123836.2136,220274.0468,0.437808,0.562192
20260130_11290555,20260130,11290555,634421.3012,272839.363,121353.6808,0.43006,0.191282,127329.6605,183092.615,310422.2755,0.410182,0.589818
20260130_11290575,20260130,11290575,559516.199,275382.4058,86599.5723,0.49218,0.154776,112263.4869,169760.60940000002,282024.09630000003,0.398063,0.601937
20260130_11290580,20260130,11290580,227390.788,71181.5203,62324.087,0.313036,0.274084,46638.3757,52994.0928,99632.46849999999,0.468104,0.531896
20260130_11290590,20260130,11290590,348899.3862,106352.0781,82159.3961,0.304822,0.235482,73408.9659,80407.2633,153816.2292,0.477251,0.522749
20260130_11290600,20260130,11290600,603337.6481999999,350515.3744,91232.98329999999,0.580961,0.151214,123472.9265,200563.429,324036.3555,0.381047,0.618953
20260130_11290610,20260130,11290610,332703.6228,135666.0377,75370.9704,0.407768,0.226541,69863.3757,87372.7502,157236.12589999998,0.444321,0.555679
20260130_11290620,20260130,11290620,300677.7585,92464.4402,68819.6676,0.30752,0.228882,59651.965,74367.37019999999,134019.33519999997,0.4451,0.5549
20260130_11290630,20260130,11290630,426682.3632,141398.7368,101609.4659,0.331391,0.238138,87792.4608,101812.4457,189604.90649999998,0.463028,0.536972
20260130_11290640,20260130,11290640,308441.5797,152698.5152,63151.7732,0.495065,0.204745,64964.114199999996,89284.89630000001,154249.0105,0.421164,0.578836
20260130_11290650,20260130,11290650,379551.5759,125088.0612,99154.9643,0.329568,0.261242,79624.2313,91040.8218,170665.05310000002,0.466553,0.533447
20260130_11290660,20260130,11290660,877587.7336,246192.33610000001,149247.4491,0.280533,0.170066,176723.5359,220432.9089,397156.4448,0.444972,0.555028
20260130_11290685,20260130,11290685,444710.1776,149856.9964,92947.8383,0.336977,0.209008,89021.5411,124835.43950000001,213856.9806,0.416267,0.583733
20260130_11290705,20260130,11290705,898257.6256,330557.4165,204457.56279999999,0.367998,0.227616,188309.0792,230668.81769999999,418977.8969,0.449449,0.550551
20260130_11290715,20260130,11290715,634504.4132,209152.75340000002,132381.2072,0.329632,0.208637,129001.2729,171542.6709,300543.9438,0.429226,0.570774
20260130_11290725,20260130,11290725,559847.9963,213542.5232,131653.0673,0.381429,0.235159,118252.7671,156005.54009999998,274258.3072,0.431173,0.568827
20260130_11290760,20260130,11290760,472033.5335,152776.3291,114706.0183,0.323656,0.243004,98762.8447,111393.4084,210156.2531,0.46995,0.53005
20260130_11290770,20260130,11290770,350081.6828,130343.0361,89638.3281,0.372322,0.25605,72431.7946,89529.3351,161961.1297,0.447217,0.552783
20260130_11290780,20260130,11290780,252459.8368,93084.0342,58036.8853,0.368708,0.229886,52159.3453,62680.4986,114839.8439,0.454192,0.545808
20260130_11290810,20260130,11290810,638157.5239,229635.1525,164589.968,0.359841,0.257914,131277.2843,166179.7714,297457.0557,0.441332,0.558668
20260130_11305534,20260130,11305534,508447.5354,160164.945,133716.9263,0.315008,0.262991,104471.38399999999,123563.8648,228035.2488,0.458137,0.541863
20260130_11305535,20260130,11305535,503222.9249,189969.7816,140989.2591,0.377506,0.280173,104814.1603,145988.6153,250802.7756,0.417915,0.582085
20260130_11305545,20260130,11305545,734048.7032,242097.1752,193109.5237,0.329811,0.263075,145948.6488,209424.168,355372.81680000003,0.410692,0.589308
20260130_11305555,20260130,11305555,563329.4376,172179.00519999999,164671.0072,0.305645,0.292317,118446.85190000001,155845.9286,274292.7805,0.431826,0.568174
20260130_11305575,20260130,11305575,452784.428,125833.3495,90932.708,0.27791,0.20083,92977.4327,108180.2196,201157.65230000002,0.462212,0.537788
20260130_11305590,20260130,11305590,418777.827,170806.1724,100584.671,0.407868,0.240186,85752.71650000001,122144.59220000001,207897.30870000002,0.412476,0.587524
20260130_11305600,20260130,11305600,232569.3933,71135.9195,73023.1267,0.30587,0.313984,49643.0301,58176.2573,107819.2874,0.460428,0.539572
20260130_11305606,20260130,11305606,322979.3718,90234.8353,103783.7133,0.279383,0.321332,65503.028399999996,82244.6919,147747.7203,0.443344,0.556656
20260130_11305610,20260130,11305610,370274.7612,127885.3636,108720.1795,0.34538,0.29362,78235.4657,93571.0352,171806.50089999998,0.45537,0.54463
20260130_11305620,20260130,11305620,372170.1608,115316.632,111653.559,0.309849,0.300007,73086.7714,102218.9073,175305.6787,0.41691,0.58309
20260130_11305630,20260130,11305630,589604.0473,257547.7023,137999.3265,0.436815,0.234054,113713.1005,163207.7324,276920.83290000004,0.410634,0.589366
20260130_11305645,20260130,11305645,382479.9484,117738.1329,112749.2423,0.307828,0.294785,78168.9038,100642.1182,178811.022,0.437159,0.562841
20260130_11305660,20260130,11305660,614499.205,187892.5566,183204.4257,0.305765,0.298136,128422.4114,159626.0061,288048.4175,0.445836,0.554164
20260130_11320511,20260130,11320511,449428.0733,147417.4851,122892.6085,0.328011,0.273442,92213.9213,117809.336,210023.2573,0.439065,0.560935
20260130_11320512,20260130,11320512,673721.9722,237179.7518,175161.865,0.352044,0.259991,135471.3478,160745.2365,296216.5843,0.457339,0.542661
20260130_11320513,20260130,11320513,257211.31710000001,72914.0322,73488.7094,0.283479,0.285713,52927.8319,66422.4189,119350.25080000001,0.443466,0.556534
20260130_11320514,20260130,11320514,662564.2068,212163.3779,178960.6885,0.320216,0.270103,137753.573,184166.7425,321920.3155,0.427912,0.572088
20260130_11320515,20260130,11320515,415001.4758,138009.1501,111178.15,0.332551,0.267898,84190.8719,121670.2121,205861.084,0.408969,0.591031
20260130_11320521,20260130,11320521,393419.12049999996,109262.7388,135575.7254,0.277726,0.344609,83151.61379999999,107231.9855,190383.5993,0.436758,0.563242
20260130_11320522,20260130,11320522,427399.068,126869.8804,136771.5995,0.296842,0.320009,92447.9081,113520.5769,205968.485,0.448845,0.551155
20260130_11320660,20260130,11320660,366389.1511,119203.5491,100027.8839,0.325347,0.27301,76576.7555,90596.2446,167173.0001,0.458069,0.541931
20260130_11320670,20260130,11320670,396349.5589,127841.3382,113925.9219,0.322547,0.287438,79260.1522,104802.2763,184062.42849999998,0.430616,0.569384
20260130_11320680,20260130,11320680,382728.3911,134041.6508,106717.3661,0.350227,0.278833,80034.9782,101268.4427,181303.4209,0.441442,0.558558
20260130_11320681,20260130,11320681,301491.17,79496.2755,83286.1251,0.263677,0.276247,62532.9038,78138.34820000001,140671.252,0.444532,0.555468
20260130_11320690,20260130,11320690,590580.4836,185408.6831,166943.8141,0.313943,0.282677,119612.2249,175595.9516,295208.1765,0.405179,0.594821
20260130_11320700,20260130,11320700,242559.76630000002,67172.9942,86033.5854,0.276934,0.35469,48806.0636,63217.840299999996,112023.9039,0.435675,0.564325
20260130_11320710,20260130,11320710,421512.9396,108782.1341,129929.2525,0.258075,0.308245,87442.2801,97066.0385,184508.3186,0.473921,0.526079
20260130_11350560,20260130,11350560,433680.7757,171265.2334,100369.2576,0.394911,0.231436,90879.32819999999,117552.7711,208432.0993,0.436014,0.563986
20260130_11350570,20260130,11350570,422936.8409,124572.3352,119694.3225,0.294541,0.283008,89593.2153,103979.2197,193572.435,0.462841,0.537159
20260130_11350580,20260130,11350580,508096.2662,169459.3732,133681.2157,0.333518,0.263102,104889.88,127768.985,232658.865,0.450831,0.549169
20260130_11350595,20260130,11350595,909326.7181,359088.6376,223588.4891,0.394895,0.245884,185453.0651,248303.2703,433756.3354,0.427551,0.572449
20260130_11350600,20260130,11350600,1079198.6451,424094.0149,197079.8319,0.392971,0.182617,233923.0928,289313.116,523236.2088,0.44707,0.55293
20260130_11350611,20260130,11350611,546256.9487,178883.4104,146837.27060000002,0.327471,0.268806,116402.4247,145892.7296,262295.1543,0.443784,0.556216
20260130_11350612,20260130,11350612,341000.5275,108111.5258,82618.3889,0.317042,0.242282,73030.0826,85018.064,158048.14659999998,0.462075,0.537925
20260130_11350619,20260130,11350619,468269.0296,110928.44440000001,72038.7076,0.23689,0.15384,91086.1298,134378.5486,225464.6784,0.403993,0.596007
