market_id,market_name,district_name,market_address,market_type,floor_area,store_count
중구_청계천공구상가,청계천공구상가,중구,서울특별시 중구 청계천로 124 일대 청계천공구상가,상점가,9329.99,101
중구_청평화시장,청평화시장,중구,서울특별시 중구 청계천로 334 청평화시장,건물형,12917.0,1156
중구_충무로_골목형상점가,충무로 골목형상점가,중구,서울특별시 중구 충무로2길 27-1 일대 충무로 골목형상점가,골목형,12704.82,87
중구_충정로56출구_골목형상점가,충정로56출구 골목형상점가,중구,서울특별시 중구 서소문로12 일대 충정로56출구 골목형상점가,골목형,5076.8,39
중구_테크노상가,테크노상가,중구,서울특별시 중구 마장로1가길 17 테크노상가,건물형,4405.13,301
중구_통일상가,통일상가,중구,서울특별시 중구 청계천로 260-14 통일상가,건물형,15146.0,966
중구_평화시장,평화시장,중구,서울특별시 중구 청계천로 274 평화시장,건물형,27704.0,2070
중구_필동_골목형상점가,필동 골목형상점가,중구,서울특별시 중구 필동로 19 일대 필동 골목형상점가,골목형,5062.83,24
중구_황학동주방가구거리_상점가,황학동주방가구거리 상점가,중구,서울특별시 중구 마장로 64 ~ 난계로 189 일대 황학동주방가구거리 상점가,상점가,27603.0,142
중구_황학시장,황학시장,중구,서울특별시 중구 퇴계로87길 일대 황학시장,골목형,15225.38,114
중구_회현지하쇼핑센터,회현지하쇼핑센터,중구,서울특별시 중구 소공로지하 58 회현지하쇼핑센터,지하도상가,2498.0,221
용산구_만리시장,만리시장,용산구,서울특별시 용산구 효창원로 270 만리시장,건물형,7682.0,34
용산구_신흥시장,신흥시장,용산구,서울특별시 용산구 신흥로 95-9 신흥시장,골목형,0.0,64
용산구_용산용문시장,용산용문시장,용산구,서울특별시 용산구 효창원로 40길 13 용산용문시장,골목형,9247.0,160
용산구_이촌종합시장,이촌종합시장,용산구,서울특별시 용산구 이촌로75길 16-9 이촌종합시장,골목형,0.0,107
용산구_이태원시장,이태원시장,용산구,서울특별시 용산구 이태원로14길 6 이태원시장,건물형,4484.0,90
용산구_한강쇼핑센터,한강쇼핑센터,용산구,서울특별시 용산구 이촌로 224 한강쇼핑센터,상점가,5286.0,100
용산구_후암시장,후암시장,용산구,서울특별시 용산구 한강대로104길 77 후암시장,골목형,1140.0,48
성동구_금남시장,금남시장,성동구,서울특별시 성동구 금호산2길 32 2층,골목형,3356.4,109
성동구_뚝도시장,뚝도시장,성동구,서울특별시 성동구 성수이로 32-15 뚝도시장,골목형,5141.0,51
성동구_뚝섬역상점가,뚝섬역상점가,성동구,서울 성동구 아차산로 35 뚝섬역3번 출구 옆 허브플랫폼,상점가,3576.0,65
성동구_마장축산물시장,마장축산물시장,성동구,서울특별시성동구 마장로35길 68 4층,골목형,26313.0,781
성동구_사근살곶이골목형상점가시장,사근살곶이골목형상점가시장,성동구,서울 성동구 사근동길 55 사근동길 일대,골목형,19656.88,71
성동구_성동용답상가시장,성동용답상가시장,성동구,서울특별시 성동구 용답중앙길 59 성동용답상가시장,골목형,29118.0,162
성동구_성수역골목형상점가,성수역골목형상점가,성동구,서울 성동구 성수일로12길 26 서울숲 코리아IT센터 B101호,상점가,7596.4,318
성동구_송정벚꽃골목형상점가,송정벚꽃골목형상점가,성동구,서울 성동구 광나루로11길 38 광나루로11길 일대,골목형,20075.54,138
성동구_신금호역골목형상점가,신금호역골목형상점가,성동구,서울특별시 성동구 금호로149 지하1층,상점가,4366.1,111
성동구_왕십리도선동상점가,왕십리도선동상점가,성동구,서울특별시 성동구 무학로2길 32 3~4층,상점가,9860.0,155
성동구_왕십리무학봉상점가,왕십리무학봉상점가,성동구,서울특별시 성동구 무학봉16길 6 102호,상점가,4241.0,126
성동구_한양대앞상점가,한양대앞상점가,성동구,서울특별시 성동구 마조로1길 28 6층,상점가,6568.0,81
성동구_행당시장상점가,행당시장상점가,성동구,서울특별시 성동구 무학봉16길 20 행당시장상점가,상점가,4180.0,107
광진구_건리단길골목형상점가,건리단길골목형상점가,광진구,서울 광진구 능동로13길 54 1층,골목형,9905.0,155
광진구_광성시장,광성시장,광진구,서울특별시 광진구 능동로47길 30 광성시장,건물형,2136.0,20
광진구_노룬산골목시장,노룬산골목시장,광진구,서울특별시 광진구 뚝섬로25길 6 노룬산골목시장,골목형,6719.0,31
광진구_노룬산시장,노룬산시장,광진구,서울특별시 광진구 뚝섬로 491 노룬산시장,건물형,1620.0,19
광진구_면곡시장_골목형상점가,면곡시장 골목형상점가,광진구,서울특별시 광진구 답십리로 368 면곡골목시장,상점가,1670.0,47
광진구_신성시장,신성시장,광진구,서울 광진구 영화사로 10 지상 2층,건물형,1605.0,21
광진구_신성전통시장,신성전통시장,광진구,서울 광진구 영화사로 16 2층,골목형,21489.0,120
광진구_영동교골목시장,영동교골목시장,광진구,서울 광진구 동일로10길 51 (자양동),골목형,12744.0,59
광진구_자양15번가_골목형상점가,자양15번가 골목형상점가,광진구,서울 광진구 자양로15길 69 1층,골목형,20088.53,88
광진구_자양전통시장,자양전통시장,광진구,서울특별시 광진구 자양로13길 59 자양전통시장,골목형,16400.0,129
광진구_자양종합시장,자양종합시장,광진구,서울특별시 광진구 자양번영로6길 20 자양종합시장,건물형,4724.0,102
광진구_자양한강전통시장,자양한강전통시장,광진구,서울 광진구 뚝섬로30길 18 자양한강전통시장,골목형,8470.0,87
광진구_조양시장,조양시장,광진구,서울특별시 광진구 아차산로30길 39 조양시장,건물형,6525.0,37
광진구_중곡제일골목시장,중곡제일골목시장,광진구,서울특별시 광진구 긴고랑로11길 14 중곡제일골목시장,골목형,14684.0,131
광진구_중곡제일시장,중곡제일시장,광진구,서울특별시 광진구 긴고랑로11길 11 중곡제일시장,건물형,2760.0,10
광진구_한아름시장,한아름시장,광진구,서울특별시 광진구 능동로13길 39 한아름시장,건물형,12217.0,29
광진구_화양제일골목시장,화양제일골목시장,광진구,서울 광진구 아차산로29길 55 화양제일골목시장,골목형,11281.0,78
광진구_자마장시장골목형상점가,자마장시장골목형상점가,광진구,서울 광진구 자양로11길 66 자마장시장 골목형상점가,상점가,16386.0,82
동대문구_경동광성상가,경동광성상가,동대문구,서울특별시 동대문구 고산자로 464,골목형,7159.0,85
동대문구_경동시장,경동시장,동대문구,서울특별시 동대문구 고산자로36길 3,건물형,22262.0,714
동대문구_답십리건축자재시장,답십리건축자재시장,동대문구,서울특별시 동대문구 고미술로 49,골목형,4612.0,111
동대문구_답십리시장,답십리시장,동대문구,서울특별시 동대문구 답십리로51길 4-1 답십리시장상인회,골목형,3146.0,78
동대문구_답십리현대시장,답십리현대시장,동대문구,서울특별시 동대문구 전농로4길 38,골목형,1439.0,75
동대문구_동부시장,동부시장,동대문구,서울특별시 동대문구 천호대로 281,건물형,4046.0,32
동대문구_동서시장,동서시장,동대문구,서울특별시 동대문구 왕산로33길 13,건물형,2986.0,34
동대문구_서울약령시장,서울약령시장,동대문구,서울특별시 동대문구 약령중앙로 20 서울약령시협회,골목형,119630.0,1004
동대문구_신설동_들락거리_골목형상점가,신설동 들락거리 골목형상점가,동대문구,서울 동대문구 하정로3길 10,골목형,61657.0,73
동대문구_용두시장,용두시장,동대문구,서울특별시 동대문구 무학로37길 12,건물형,2794.0,42
동대문구_이경시장,이경시장,동대문구,서울특별시 동대문구 휘경로 53,건물형,3033.0,108
동대문구_이경재래시장,이경재래시장,동대문구,서울특별시 동대문구 외대역동로12길 13 이경재래시장,골목형,0.0,70
동대문구_이문제일시장,이문제일시장,동대문구,서울특별시 동대문구 이문로 200,건물형,3392.0,64
동대문구_장안_마실_골목형상점가,장안 마실 골목형상점가,동대문구,서울 동대문구 답십리로66길 64 답십리로66길 일대,골목형,488848.94,186
동대문구_장한평역__먹자_골목형상점가,장한평역  먹자 골목형상점가,동대문구,서울 동대문구 천호대로85길 27 천호대로85길 일대,골목형,19483.0,78
동대문구_전곡시장,전곡시장,동대문구,서울특별시 동대문구 한천로 190,건물형,1682.0,15
동대문구_전농로터리시장,전농로터리시장,동대문구,서울특별시 동대문구 전농로15길 7,건물형,4279.0,84
동대문구_제기동_고대앞마을_골목형상점가,제기동 고대앞마을 골목형상점가,동대문구,서울 동대문구 안암로22길 6,골목형,30487.0,120
동대문구_청량리농수산물시장,청량리농수산물시장,동대문구,서울특별시 동대문구 경동시장로 22,골목형,3613.0,120
동대문구_청량리수산시장,청량리수산시장,동대문구,서울특별시 동대문구 고산자로34길 48-1,골목형,2774.0,111
동대문구_청량리전통시장,청량리전통시장,동대문구,서울특별시 동대문구 경동시장로2길 49-3,골목형,1066.0,63
동대문구_청량리종합시장,청량리종합시장,동대문구,서울특별시 동대문구 홍릉로1길 68-3 청량리종합시장,골목형,3086.0,138
동대문구_청량리청과물시장,청량리청과물시장,동대문구,서울특별시 동대문구 왕산로33길 6,골목형,7473.0,94
동대문구_청량종합도매시장,청량종합도매시장,동대문구,서울특별시 동대문구 약령시로 92-2 청량종합도매시장,골목형,1774.0,43
동대문구_회기시장,회기시장,동대문구,서울특별시 동대문구 회기로25길 11,골목형,5921.0,64
동대문구_회기역골목형상점가,회기역골목형상점가,동대문구,서울 동대문구 회기로28길 12-3,골목형,14204.0,59
동대문구_경희담길_골목형상점가,경희담길 골목형상점가,동대문구,서울 동대문구 경희대로1길 11,골목형,7982.94,130
동대문구_전곡시장_골목형상점가,전곡시장 골목형상점가,동대문구,서울 동대문구 한천로38나길 29,골목형,2104.0,57
중랑구_겸재한신길_골목형상점가,겸재한신길 골목형상점가,중랑구,서울 중랑구 겸재로3길 9 겸재한신길 골목형상점가,골목형,1023.0,34
중랑구_동성타워프라자,동성타워프라자,중랑구,서울특별시 중랑구 봉화산로 221 동성타워프라자,건물형,1759.785,75
중랑구_동원시장,동원시장,중랑구,서울특별시 중랑구 면목로74길 45 동원시장,건물형,1766.0,14
중랑구_동원전통시장상점가,동원전통시장상점가,중랑구,서울특별시 중랑구 면목로78길 67 101호 동원전통시장상점가,상점가,18159.0,87
중랑구_동원전통종합시장,동원전통종합시장,중랑구,서울특별시 중랑구 상봉로11길 27-3 동원전통종합시장,골목형,18159.53,123
중랑구_면목시장(골목형),면목시장(골목형),중랑구,서울특별시 중랑구 사가정로 50길 84 면목시장(골목형),골목형,13563.0,88
중랑구_면목시장(카멜리아쇼핑센타),면목시장(카멜리아쇼핑센타),중랑구,서울특별시 중랑구 면목로39길 11 면목시장(카멜리아쇼핑센타),건물형,3977.9,34
중랑구_묵동도깨비시장_골목형상점가,묵동도깨비시장 골목형상점가,중랑구,서울 중랑구 공릉로 60 묵동도깨비시장 골목형상점가,골목형,3510.0,96
