park_id,park_name,area_sqm,main_facilities,region,park_address,longitude,latitude
115,인능산도시자연공원,2108968.0,"옹달샘 1개소, 등산 동선상 헬기장 등",서초구,서울특별시 서초구 내곡동 산12-404,127.0666632,37.4482109
116,구룡산도시자연공원,2201257.0,"국수봉 전망대, 율암약수터,",서초구,서울특별시 서초구 염곡동 산25-1,127.061567,37.4689473
117,우면산도시자연공원,3721692.0,약수터 정자 화장실 등,서초구,서울특별시 서초구 우면동 산35-1,127.0091324,37.470484
118,향림근린공원,147859.0,산책로 구민체육센터 다목적체육관 축구장 등,은평구,서울특별시 은평구 진관동 산55,126.9240693,37.6293824
119,신사근린공원,111650.0,산책로 자연학습장 놀이터 등,은평구,서울특별시 은평구 신사동 산80-4,126.9102948,37.5920771
120,광평근린공원,519782.0,사당 재실 종회당,강남구,서울특별시 강남구 수서동 산10-1,127.092184,37.4880445
121,청담근린공원,59347.0,청소년회관 시비광장 실개천 배드민턴장 농구장 약수터 운동광장 등,강남구,서울특별시 강남구 청담동 66,127.052453,37.5213259
122,허브천문공원,25500.0,유리온실 관천대 전망데크 휴게데크 그늘막 별자리조명 등,강동구,서울특별시 강동구 둔촌동 산94,127.1533951,37.5372715
123,GTX연신849광장(구 물빛공원),4800.0,"야외무대, 미디어월, 음수대 등",은평구,서울특별시 은평구 통일로 849,126.9207354,37.619052
124,숭인근린공원,45615.0,,종로구,서울특별시 종로구 숭인동 58,127.0178267,37.5764419
125,서일대뒷산공원,631021.0,순국선열 추념탑 348㎡ 높이 22.3m,중랑구,서울특별시 중랑구 면목동 산19,127.0987817,37.5877155
126,용마도시자연공원(사가정공원),109635.0,피크닉장 놀이터 체력단련장 체육관,중랑구,서울특별시 중랑구 면목7동 산50,127.095997,37.5797622
127,문화비축기지,140022.0,6개의탱크와 문화마당 녹지,마포구,서울특별시 마포구 증산로 87,126.8932455,37.57171848
128,경춘선숲길,211392.0,조경시설 : 텃밭 잔디광장 철길 산책로 등 건축시설 : 무궁화호 객차(방문자센터) 기타시설 : 경춘철교,,노원구 공릉2동 산 82-2,127.076482,37.627077
129,율현공원,157535.0,기반시설 : 잔디광장 조경시설 : 정자 조형쉼터 조형파고라 수경시설  운동시설 : 게이트볼장 다목적구장 체력단련시설  편익시설 : 화장실 음수대 근로자대기실  유희시설 : 어린이놀이터(2개),강남구,서울특별시 강남구 밤고개로24길 91(율현동 56),127.115594,37.472332
131,서울식물원,505350.9,"열린숲 : 진입광장, 둘레숲, 숲문화학교, 잔디마당, LG아트센터, 방문자센터, 햇살정원, 목본류전시장",강서구,서울특별시 강서구 마곡동로 161 서울식물원,126.83483,37.569781
132,서소문역사공원,0.0,,중구,서울특별시 중구 의주로2가 16-2,126.969742,37.560868
133,순화문화공원,0.0,,중구,서울특별시 중구 순화동 216-2,126.971584,37.560215
