worker_id,base_year_quarter_code,commercial_code,commercial_name,total_worker_population,age_20_worker_population,age_30_worker_population,age_40_worker_population,age_60_plus_worker_population,age_20_40_worker,age_20_40_worker_ratio,age_60_plus_worker_ratio
20214_3130231,20214,3130231,독산동 우시장,720,55,98,121,287,274,0.380556,0.398611
20214_3130230,20214,3130230,가리봉시장,60,3,10,14,19,27,0.45,0.316667
20214_3130229,20214,3130229,남구로시장,342,39,70,86,62,195,0.570175,0.181287
20214_3130228,20214,3130228,구로시장,133,11,27,33,29,71,0.533835,0.218045
20214_3130227,20214,3130227,고척골목시장상점가(그라운드 고척),431,38,87,113,62,238,0.552204,0.143852
20214_3130226,20214,3130226,고척프라자,153,13,31,40,22,84,0.54902,0.143791
20214_3130225,20214,3130225,개봉중앙시장,3512,622,856,838,356,2316,0.659453,0.101367
20214_3130224,20214,3130224,개봉프라자(고척근린시장),71,7,16,19,10,42,0.591549,0.140845
20214_3130223,20214,3130223,고척근린시장,684,60,150,171,119,381,0.557018,0.173977
20214_3130222,20214,3130222,오류시장,265,35,48,66,39,149,0.562264,0.14717
20214_3130221,20214,3130221,"남부골목시장(남부화곡시장, 남부시장)",686,162,187,142,67,491,0.715743,0.097668
20214_3130220,20214,3130220,등마루시장,106,21,27,23,15,71,0.669811,0.141509
20214_3130219,20214,3130219,까치산시장,456,65,122,132,57,319,0.699561,0.125
20214_3130218,20214,3130218,신월중앙시장,235,29,50,53,45,132,0.561702,0.191489
20214_3130217,20214,3130217,화곡본동시장,287,29,55,71,61,155,0.54007,0.212544
20214_3130216,20214,3130216,화곡중앙시장,138,14,28,33,23,75,0.543478,0.166667
20214_3130215,20214,3130215,대원종합시장,31,4,8,8,4,20,0.645161,0.129032
20214_3130214,20214,3130214,송화벽화시장(송화골목시장),376,21,54,101,74,176,0.468085,0.196809
20214_3130213,20214,3130213,방신전통시장,407,42,87,100,60,229,0.562654,0.14742
20214_3130212,20214,3130212,공항시장,140,11,28,32,30,71,0.507143,0.214286
20214_3130211,20214,3130211,신정2동 골목시장(오목교중앙시장),625,114,205,168,28,487,0.7792,0.0448
20214_3130210,20214,3130210,목2동시장,1106,151,273,296,132,720,0.650995,0.119349
20214_3130209,20214,3130209,목사랑시장(목4동시장),229,29,48,69,26,146,0.637555,0.113537
20214_3130208,20214,3130208,목동깨비시장(목3동시장),447,56,101,119,64,276,0.61745,0.143177
20214_3130207,20214,3130207,신정1동 골목시장(신정제일시장),730,129,184,183,76,496,0.679452,0.10411
20214_3130206,20214,3130206,신정3동 골목시장,170,13,33,43,45,89,0.523529,0.264706
20214_3130205,20214,3130205,신곡종합시장(신월6동 골목시장),269,27,49,63,56,139,0.516729,0.208178
20214_3130204,20214,3130204,경창시장,480,34,73,129,107,236,0.491667,0.222917
20214_3130203,20214,3130203,서서울 골목형상점가,128,10,23,31,22,64,0.5,0.171875
20214_3130202,20214,3130202,신영시장,219,18,36,53,40,107,0.488584,0.182648
20214_3130201,20214,3130201,월정로시장,47,4,6,11,10,21,0.446809,0.212766
20214_3130200,20214,3130200,"신월7동 골목시장(약수시장, 우성상가)",207,22,35,42,59,99,0.478261,0.285024
20214_3130199,20214,3130199,신월3동 골목시장,33,2,7,8,5,17,0.515152,0.151515
20214_3130198,20214,3130198,아현시장,627,119,204,178,18,501,0.799043,0.028708
20214_3130197,20214,3130197,마포시장,157,35,42,44,8,121,0.770701,0.050955
20214_3130196,20214,3130196,공덕시장,529,118,145,143,29,406,0.767486,0.05482
20214_3130195,20214,3130195,도화동 상점가,2744,507,670,692,261,1869,0.681122,0.095117
20214_3130194,20214,3130194,용강동 상점가,1662,244,410,393,284,1047,0.629964,0.170878
20214_3130193,20214,3130193,신수시장,45,6,12,12,4,30,0.666667,0.088889
20214_3130192,20214,3130192,동진시장,27,4,7,7,3,18,0.666667,0.111111
20214_3130191,20214,3130191,홍대 걷고싶은 거리,1129,236,318,264,126,818,0.724535,0.111603
20214_3130190,20214,3130190,홍대소상공인상점가,564,117,162,129,64,408,0.723404,0.113475
20214_3130189,20214,3130189,서교시장,142,30,40,33,16,103,0.725352,0.112676
20214_3130188,20214,3130188,합정시장,19,3,6,5,2,14,0.736842,0.105263
20214_3130187,20214,3130187,영진시장,15,3,4,4,2,11,0.733333,0.133333
20214_3130186,20214,3130186,망원시장,321,89,89,66,29,244,0.760125,0.090343
20214_3130185,20214,3130185,망원월드컵시장,540,68,101,116,89,285,0.527778,0.164815
20214_3130184,20214,3130184,마포농수산물시장,199,18,38,53,29,109,0.547739,0.145729
20214_3130183,20214,3130183,상암동상점가,721,154,273,196,18,623,0.864078,0.024965
20214_3130182,20214,3130182,영천시장,401,33,65,104,55,202,0.503741,0.137157
20214_3130181,20214,3130181,아현가구거리상점가,297,25,72,82,32,179,0.602694,0.107744
20214_3130180,20214,3130180,포방터시장,1094,36,81,299,150,416,0.380256,0.137112
20214_3130179,20214,3130179,"이화여대 3,5,7길 상점가",221,34,61,56,23,151,0.683258,0.104072
20214_3130178,20214,3130178,이대 앞 스타트업 상점가,28,5,7,8,2,20,0.714286,0.071429
20214_3130177,20214,3130177,인왕시장(홍제골목형상점가),120,10,14,24,40,48,0.4,0.333333
20214_3130176,20214,3130176,유진상가,774,25,57,212,108,294,0.379845,0.139535
20214_3130175,20214,3130175,신촌 상인회(신촌상점가),69,11,18,18,7,47,0.681159,0.101449
20214_3130174,20214,3130174,연희사러가,53,9,13,11,6,33,0.622642,0.113208
20214_3130173,20214,3130173,백련시장,8,1,2,2,1,5,0.625,0.125
20214_3130172,20214,3130172,모래내시장(서중시장),1052,77,134,184,395,395,0.375475,0.375475
20214_3130171,20214,3130171,불광먹자골목 골목형상점가,609,84,147,166,71,397,0.651888,0.116585
20214_3130170,20214,3130170,제일시장,451,51,98,122,74,271,0.600887,0.16408
20214_3130169,20214,3130169,대조시장,209,23,47,56,33,126,0.602871,0.157895
20214_3130168,20214,3130168,연서시장,1600,70,211,261,712,542,0.33875,0.445
20214_3130167,20214,3130167,연신내상점가(연빛거리),1606,234,358,397,235,989,0.615816,0.146326
20214_3130166,20214,3130166,응암시장(신응암시장),92,11,12,20,22,43,0.467391,0.23913
20214_3130165,20214,3130165,"대림골목시장(대림시장, 양지시장)",208,19,50,62,27,131,0.629808,0.129808
20214_3130163,20214,3130163,응암오거리상점가,301,27,74,89,38,190,0.631229,0.126246
20214_3130162,20214,3130162,증산골목시장,74,9,20,20,8,49,0.662162,0.108108
20214_3130161,20214,3130161,증산종합시장,50,6,13,14,5,33,0.66,0.1
20214_3130160,20214,3130160,수일시장,219,28,59,53,36,140,0.639269,0.164384
20214_3130159,20214,3130159,공릉동 도깨비시장,826,87,127,183,201,397,0.48063,0.243341
