query_id,k,precision_at_k,recall_at_k,ndcg_at_k,hits,total_relevant,recommended_count_at_k,matched_gold_ids,match_methods
OH_20260512_1000_종로구_광화문광장감사의정원_OH_0065,10,0.0,0.0,0.0,0,1,10,,
OH_20260515_1500_송파구_잠실mice현장_OH_0083,1,0.0,0.0,0.0,0,1,1,,
OH_20260515_1500_송파구_잠실mice현장_OH_0083,3,0.0,0.0,0.0,0,1,3,,
OH_20260515_1500_송파구_잠실mice현장_OH_0083,5,0.0,0.0,0.0,0,1,5,,
OH_20260515_1500_송파구_잠실mice현장_OH_0083,10,0.0,0.0,0.0,0,1,10,,
OH_20260516_0830_노원구_공릉동_OH_0086,1,0.0,0.0,0.0,0,1,1,,
OH_20260516_0830_노원구_공릉동_OH_0086,3,0.0,0.0,0.0,0,1,3,,
OH_20260516_0830_노원구_공릉동_OH_0086,5,0.0,0.0,0.0,0,1,5,,
OH_20260516_0830_노원구_공릉동_OH_0086,10,0.1,1.0,0.3010299956639812,1,1,10,OH_0086,partial
OH_20260516_1000_송파구_잠실보조경기장_OH_0087,1,0.0,0.0,0.0,0,1,1,,
OH_20260516_1000_송파구_잠실보조경기장_OH_0087,3,0.0,0.0,0.0,0,1,3,,
OH_20260516_1000_송파구_잠실보조경기장_OH_0087,5,0.0,0.0,0.0,0,1,5,,
OH_20260516_1000_송파구_잠실보조경기장_OH_0087,10,0.0,0.0,0.0,0,1,10,,
OH_20260517_1300_중랑구_중랑서울장미축제_OH_0093,1,0.0,0.0,0.0,0,1,1,,
OH_20260517_1300_중랑구_중랑서울장미축제_OH_0093,3,0.0,0.0,0.0,0,1,3,,
OH_20260517_1300_중랑구_중랑서울장미축제_OH_0093,5,0.0,0.0,0.0,0,1,5,,
OH_20260517_1300_중랑구_중랑서울장미축제_OH_0093,10,0.0,0.0,0.0,0,1,10,,
OH_20260518_1130_영등포구_서울청년취업사관학교_OH_0097,1,0.0,0.0,0.0,0,1,1,,
OH_20260518_1130_영등포구_서울청년취업사관학교_OH_0097,3,0.0,0.0,0.0,0,1,3,,
OH_20260518_1130_영등포구_서울청년취업사관학교_OH_0097,5,0.0,0.0,0.0,0,1,5,,
OH_20260518_1130_영등포구_서울청년취업사관학교_OH_0097,10,0.0,0.0,0.0,0,1,10,,
OH_20260518_1220_영등포구_서울시창업지원시설_OH_0098,1,0.0,0.0,0.0,0,1,1,,
OH_20260518_1220_영등포구_서울시창업지원시설_OH_0098,3,0.0,0.0,0.0,0,1,3,,
OH_20260518_1220_영등포구_서울시창업지원시설_OH_0098,5,0.0,0.0,0.0,0,1,5,,
OH_20260518_1220_영등포구_서울시창업지원시설_OH_0098,10,0.0,0.0,0.0,0,1,10,,
OH_20260519_1000_종로구_창신동쪽방촌온기창고_OH_0102,1,0.0,0.0,0.0,0,1,1,,
OH_20260519_1000_종로구_창신동쪽방촌온기창고_OH_0102,3,0.0,0.0,0.0,0,1,3,,
